z,r,dr_dz,d2r_dz2,curvature
192.572501,249.499565,0.543959,-0.008747,0.005930
192.952476,249.553131,0.540346,-0.008689,0.005917
193.332451,249.605691,0.536694,-0.008782,0.006008
193.712426,249.657380,0.532993,-0.008849,0.006081
194.092401,249.708226,0.529274,-0.008860,0.006117
194.472377,249.758205,0.525552,-0.008865,0.006149
194.852352,249.807299,0.521818,-0.008887,0.006192
195.232327,249.855515,0.518066,-0.008912,0.006239
195.612302,249.902862,0.514300,-0.008933,0.006282
195.992278,249.949370,0.510520,-0.008950,0.006323
196.372253,249.995074,0.506727,-0.008968,0.006365
196.752228,250.039958,0.502920,-0.008986,0.006407
197.132203,250.083872,0.499101,-0.009000,0.006447
197.512178,250.126667,0.495271,-0.009012,0.006485
197.892154,250.168410,0.491430,-0.009031,0.006528
198.272129,250.209302,0.487573,-0.009057,0.006578
198.652104,250.249486,0.483698,-0.009063,0.006612
199.032079,250.288946,0.479824,-0.009027,0.006616
199.412055,250.327641,0.475968,-0.009034,0.006650
199.792030,250.365561,0.472077,-0.009198,0.006802
200.172005,250.402716,0.468069,-0.009486,0.007047
200.551980,250.439126,0.463919,-0.009780,0.007300
200.931955,250.474833,0.459644,-0.009978,0.007484
201.311931,250.509879,0.455310,-0.009903,0.007465
201.691906,250.544196,0.451087,-0.009518,0.007209
202.071881,250.577633,0.447073,-0.009163,0.006971
202.451856,250.610101,0.443145,-0.009103,0.006956
202.831832,250.641725,0.439171,-0.009188,0.007053
203.211807,250.672662,0.435157,-0.009222,0.007109
203.591782,250.702978,0.431143,-0.009201,0.007125
203.971757,250.732660,0.427136,-0.009185,0.007144
204.351732,250.761692,0.423124,-0.009185,0.007175
204.731708,250.790080,0.419106,-0.009188,0.007208
205.111683,250.817830,0.415080,-0.009186,0.007238
205.491658,250.844966,0.411052,-0.009173,0.007258
205.871633,250.871521,0.407027,-0.009150,0.007271
206.251609,250.897507,0.403007,-0.009157,0.007306
206.631584,250.922850,0.398966,-0.009238,0.007402
207.011559,250.947455,0.394863,-0.009506,0.007649
