z,r,dr_dz,d2r_dz2,curvature
129.179310,223.808364,0.940298,-0.005738,0.002219
129.563772,224.074060,0.938292,-0.005786,0.002244
129.948234,224.338706,0.936266,-0.005851,0.002276
130.332696,224.602297,0.934212,-0.005927,0.002313
130.717159,224.864828,0.932128,-0.005956,0.002331
131.101621,225.126291,0.930049,-0.005861,0.002301
131.486083,225.386682,0.928028,-0.005668,0.002232
131.870545,225.645994,0.926080,-0.005506,0.002175
132.255008,225.904222,0.924169,-0.005454,0.002160
132.639470,226.161359,0.922253,-0.005470,0.002173
133.023932,226.417400,0.920327,-0.005480,0.002183
133.408394,226.672340,0.918401,-0.005461,0.002182
133.792856,226.926171,0.916484,-0.005431,0.002176
134.177319,227.178889,0.914576,-0.005407,0.002173
134.561781,227.430486,0.912672,-0.005391,0.002172
134.946243,227.680959,0.910772,-0.005378,0.002173
135.330705,227.930299,0.908874,-0.005364,0.002174
135.715168,228.178503,0.906979,-0.005349,0.002174
136.099630,228.425563,0.905088,-0.005336,0.002175
136.484092,228.671474,0.903200,-0.005324,0.002176
136.868554,228.916230,0.901313,-0.005314,0.002178
137.253017,229.159826,0.899429,-0.005305,0.002180
137.637479,229.402254,0.897545,-0.005297,0.002183
138.021941,229.643510,0.895663,-0.005290,0.002186
138.406403,229.883588,0.893781,-0.005283,0.002190
138.790865,230.122481,0.891900,-0.005277,0.002193
139.175328,230.360184,0.890019,-0.005272,0.002198
139.559790,230.596690,0.888137,-0.005272,0.002203
139.944252,230.831995,0.886253,-0.005271,0.002210
140.328714,231.066091,0.884368,-0.005266,0.002214
140.713177,231.298973,0.882485,-0.005253,0.002214
141.097639,231.530635,0.880605,-0.005247,0.002218
141.482101,231.761072,0.878723,-0.005269,0.002233
141.866563,231.990276,0.876824,-0.005319,0.002261
142.251026,232.218243,0.874902,-0.005376,0.002292
142.635488,232.444966,0.872958,-0.005429,0.002321
143.019950,232.670439,0.870995,-0.005467,0.002344
143.404412,232.894658,0.869020,-0.005452,0.002345
143.788874,233.117617,0.867063,-0.005366,0.002314
144.173337,233.339308,0.865147,-0.005264,0.002277
144.557799,233.559719,0.863260,-0.005217,0.002263
144.942261,233.778813,0.861374,-0.005228,0.002274
145.326723,233.996529,0.859475,-0.005252,0.002291
145.711186,234.212838,0.857569,-0.005259,0.002300
146.095648,234.427788,0.855661,-0.005255,0.002305
146.480110,234.641440,0.853754,-0.005253,0.002311
146.864572,234.853806,0.851845,-0.005256,0.002319
147.249035,235.064865,0.849932,-0.005262,0.002328
147.633497,235.274599,0.848014,-0.005268,0.002337
148.017959,235.483007,0.846093,-0.005273,0.002346
148.402421,235.690091,0.844168,-0.005280,0.002356
148.786883,235.895846,0.842239,-0.005287,0.002366
149.171346,236.100269,0.840305,-0.005296,0.002376
149.555808,236.303354,0.838366,-0.005305,0.002387
149.940270,236.505097,0.836421,-0.005315,0.002399
150.324732,236.705497,0.834471,-0.005325,0.002410
150.709195,236.904547,0.832515,-0.005337,0.002422
151.093657,237.102246,0.830553,-0.005349,0.002435
151.478119,237.298587,0.828584,-0.005362,0.002448
151.862581,237.493570,0.826609,-0.005375,0.002461
152.247044,237.687190,0.824626,-0.005389,0.002475
152.631506,237.879442,0.822637,-0.005404,0.002489
153.015968,238.070320,0.820639,-0.005420,0.002504
153.400430,238.259820,0.818634,-0.005436,0.002518
153.784892,238.447948,0.816621,-0.005452,0.002534
154.169355,238.634712,0.814600,-0.005470,0.002549
154.553817,238.820088,0.812570,-0.005488,0.002565
154.938279,239.004026,0.810531,-0.005506,0.002582
155.322741,239.186484,0.808483,-0.005525,0.002598
155.707204,239.367422,0.806426,-0.005545,0.002615
156.091666,239.546810,0.804360,-0.005565,0.002633
156.476128,239.724679,0.802284,-0.005586,0.002651
156.860590,239.901108,0.800197,-0.005607,0.002669
157.245053,240.076153,0.798101,-0.005629,0.002688
157.629515,240.249804,0.795994,-0.005652,0.002707
158.013977,240.422038,0.793877,-0.005675,0.002726
158.398439,240.592848,0.791748,-0.005699,0.002746
158.782901,240.762239,0.789608,-0.005723,0.002766
159.167364,240.930214,0.787457,-0.005747,0.002787
159.551826,241.096772,0.785295,-0.005773,0.002808
159.936288,241.261910,0.783120,-0.005798,0.002830
160.320750,241.425627,0.780934,-0.005825,0.002852
160.705213,241.587921,0.778735,-0.005851,0.002874
161.089675,241.748791,0.776523,-0.005879,0.002897
161.474137,241.908241,0.774299,-0.005907,0.002920
161.858599,242.066272,0.772062,-0.005935,0.002943
162.243062,242.222878,0.769811,-0.005964,0.002967
162.627524,242.378044,0.767547,-0.005993,0.002992
163.011986,242.531731,0.765269,-0.006023,0.003016
163.396448,242.683840,0.762978,-0.006053,0.003042
163.780910,242.834266,0.760672,-0.006084,0.003067
164.165373,242.983051,0.758352,-0.006115,0.003093
164.549835,243.130346,0.756017,-0.006147,0.003120
164.934297,243.276262,0.753668,-0.006179,0.003147
165.318759,243.420783,0.751303,-0.006212,0.003174
165.703222,243.563871,0.748924,-0.006245,0.003202
166.087684,243.705516,0.746528,-0.006278,0.003230
166.472146,243.845733,0.744118,-0.006312,0.003259
166.856608,243.984529,0.741691,-0.006346,0.003288
167.241071,244.121903,0.739248,-0.006381,0.003318
167.625533,244.257853,0.736789,-0.006416,0.003348
168.009995,244.392383,0.734314,-0.006451,0.003378
168.394457,244.525507,0.731822,-0.006487,0.003409
168.778919,244.657228,0.729313,-0.006523,0.003441
169.163382,244.787513,0.726787,-0.006560,0.003472
169.547844,244.916323,0.724244,-0.006597,0.003505
169.932306,245.043588,0.721683,-0.006634,0.003537
170.316768,245.169214,0.719105,-0.006671,0.003570
170.701231,245.293164,0.716509,-0.006709,0.003604
171.085693,245.415568,0.713895,-0.006747,0.003638
171.470155,245.536583,0.711263,-0.006786,0.003672
171.854617,245.656256,0.708612,-0.006824,0.003707
172.239080,245.774550,0.705944,-0.006863,0.003742
172.623542,245.891436,0.703256,-0.006903,0.003778
173.008004,246.006928,0.700550,-0.006942,0.003814
173.392466,246.121042,0.697825,-0.006982,0.003850
173.776928,246.233781,0.695081,-0.007021,0.003887
174.161391,246.345132,0.692317,-0.007061,0.003925
174.545853,246.455098,0.689535,-0.007102,0.003962
174.930315,246.563725,0.686732,-0.007142,0.004001
175.314777,246.671057,0.683911,-0.007182,0.004039
175.699240,246.776977,0.681069,-0.007223,0.004078
176.083702,246.881244,0.678208,-0.007264,0.004118
176.468164,246.983726,0.675327,-0.007305,0.004157
176.852626,247.084630,0.672425,-0.007346,0.004198
177.237089,247.184217,0.669504,-0.007387,0.004238
177.621551,247.282566,0.666562,-0.007428,0.004279
178.006013,247.379614,0.663600,-0.007469,0.004321
178.390475,247.475318,0.660617,-0.007510,0.004362
178.774937,247.569688,0.657614,-0.007551,0.004405
179.159400,247.662749,0.654590,-0.007593,0.004447
179.543862,247.754514,0.651546,-0.007634,0.004490
179.928324,247.844989,0.648480,-0.007676,0.004534
180.312786,247.934176,0.645394,-0.007717,0.004577
180.697249,248.022066,0.642287,-0.007759,0.004621
181.081711,248.108644,0.639158,-0.007800,0.004666
