z,r,dr_dz,d2r_dz2,curvature
146.095648,234.496197,0.559083,-0.008854,0.005888
146.480110,234.710489,0.555671,-0.008892,0.005939
146.864572,234.923466,0.552245,-0.008930,0.005990
147.249035,235.135124,0.548805,-0.008967,0.006041
147.633497,235.345456,0.545350,-0.009004,0.006093
148.017959,235.554457,0.541882,-0.009040,0.006144
148.402421,235.762122,0.538399,-0.009076,0.006196
148.786883,235.968445,0.534903,-0.009112,0.006247
149.171346,236.173422,0.531393,-0.009147,0.006298
149.555808,236.377046,0.527870,-0.009181,0.006350
149.940270,236.579314,0.524334,-0.009215,0.006401
150.324732,236.780219,0.520784,-0.009248,0.006453
150.709195,236.979758,0.517222,-0.009281,0.006504
151.093657,237.177924,0.513648,-0.009314,0.006555
151.478119,237.374714,0.510061,-0.009345,0.006606
151.862581,237.570122,0.506462,-0.009377,0.006657
152.247044,237.764145,0.502851,-0.009407,0.006708
152.631506,237.956776,0.499228,-0.009437,0.006759
153.015968,238.148013,0.495594,-0.009467,0.006810
153.400430,238.337851,0.491949,-0.009495,0.006860
153.784892,238.526285,0.488293,-0.009524,0.006910
154.169355,238.713311,0.484626,-0.009551,0.006960
154.553817,238.898926,0.480949,-0.009578,0.007010
154.938279,239.083124,0.477261,-0.009604,0.007059
155.322741,239.265904,0.473564,-0.009629,0.007108
155.707204,239.447260,0.469857,-0.009654,0.007157
156.091666,239.627188,0.466141,-0.009678,0.007206
156.476128,239.805687,0.462416,-0.009701,0.007254
156.860590,239.982751,0.458682,-0.009723,0.007302
157.245053,240.158379,0.454940,-0.009745,0.007349
157.629515,240.332566,0.451189,-0.009765,0.007396
158.013977,240.505309,0.447431,-0.009785,0.007442
158.398439,240.676606,0.443665,-0.009804,0.007488
158.782901,240.846454,0.439892,-0.009823,0.007534
159.167364,241.014850,0.436112,-0.009840,0.007578
159.551826,241.181791,0.432326,-0.009857,0.007623
159.936288,241.347275,0.428533,-0.009872,0.007666
160.320750,241.511300,0.424734,-0.009887,0.007710
160.705213,241.673864,0.420930,-0.009901,0.007752
161.089675,241.834964,0.417121,-0.009914,0.007794
161.474137,241.994599,0.413307,-0.009926,0.007835
161.858599,242.152766,0.409489,-0.009937,0.007876
162.243062,242.309465,0.405666,-0.009947,0.007915
162.627524,242.464693,0.401840,-0.009957,0.007954
163.011986,242.618449,0.398010,-0.009965,0.007992
163.396448,242.770733,0.394178,-0.009972,0.008030
163.780910,242.921542,0.390343,-0.009978,0.008066
164.165373,243.070876,0.386505,-0.009983,0.008102
164.549835,243.218735,0.382666,-0.009988,0.008137
164.934297,243.365118,0.378825,-0.009991,0.008170
165.318759,243.510023,0.374984,-0.009993,0.008203
165.703222,243.653452,0.371142,-0.009994,0.008235
166.087684,243.795403,0.367299,-0.009994,0.008266
166.472146,243.935877,0.363457,-0.009993,0.008296
166.856608,244.074874,0.359615,-0.009991,0.008325
167.241071,244.212394,0.355775,-0.009988,0.008353
167.625533,244.348438,0.351935,-0.009983,0.008379
168.009995,244.483006,0.348098,-0.009978,0.008405
168.394457,244.616099,0.344263,-0.009971,0.008429
168.778919,244.747718,0.340431,-0.009964,0.008453
169.163382,244.877864,0.336602,-0.009955,0.008475
169.547844,245.006539,0.332776,-0.009945,0.008496
169.932306,245.133744,0.328954,-0.009934,0.008515
